Datum,Verzija,Modra_Stran,Rdeca_Stran,Zmagovalec,Modri_Igralci,Rdeci_Igralci,Liga
2019-03-16,9.5,SK Gaming,FC Schalke 04 Esports,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-16,9.5,Fnatic,Splyce,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-16,9.5,Excel Esports,Origen,Origen,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-16,9.5,Team Vitality,SK Gaming,SK Gaming,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-03-16,9.5,Rogue (European Team),FC Schalke 04 Esports,FC Schalke 04 Esports,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-16,9.5,G2 Esports,Misfits Gaming,Misfits Gaming,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' promisq']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-03-15,9.5,FC Schalke 04 Esports,Origen,Origen,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-15,9.5,Excel Esports,Team Vitality,Excel Esports,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-03-15,9.5,Fnatic,G2 Esports,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' promisq']",LEC
2019-03-15,9.5,SK Gaming,Rogue (European Team),SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-03-15,9.5,Misfits Gaming,Splyce,Splyce,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-09,9.4,Team Vitality,G2 Esports,G2 Esports,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-03-09,9.4,Rogue (European Team),Origen,Origen,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-09,9.4,Excel Esports,Fnatic,Fnatic,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-03-09,9.4,SK Gaming,Splyce,Splyce,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-09,9.4,Misfits Gaming,FC Schalke 04 Esports,FC Schalke 04 Esports,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-08,9.4,Fnatic,Misfits Gaming,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
